timestamp,video_emotion,voice_emotion,distress_level,llm_response,stt_text
2026-05-02T03:13:00.334539,Angry,Starting...,60,"I hear you're feeling angry. It takes courage to express that, and I'm here for you. What's making you feel this way?",
2026-05-02T03:13:03.335028,Angry,Starting...,60,"I hear you're feeling angry. It takes courage to express that, and I'm here for you. What's making you feel this way?",
2026-05-02T03:13:06.335561,Angry,Starting...,60,"I hear you're feeling angry. It takes courage to express that, and I'm here for you. What's making you feel this way?",
2026-05-02T03:13:09.335965,Angry,Starting...,60,"I hear you're feeling angry. It takes courage to express that, and I'm here for you. What's making you feel this way?",
2026-05-02T03:13:12.336497,Angry,Starting...,60,"I hear you're feeling angry. It takes courage to express that, and I'm here for you. What's making you feel this way?",
2026-05-02T03:13:36.554980,Neutral,Anger,60,I hear you're expressing a lot of pain right now. It takes strength to articulate difficult feelings. Would you be open to exploring what's contributing to this intensity?,"Hi, I'm a Zerfucker."
2026-05-02T03:13:39.555338,Neutral,Anger,60,I hear you're expressing a lot of pain right now. It takes strength to articulate difficult feelings. Would you be open to exploring what's contributing to this intensity?,"Hi, I'm a Zerfucker."
2026-05-02T03:13:42.555689,Sad,Anger,60,I hear you're expressing a lot of pain right now. It takes strength to articulate difficult feelings. Would you be open to exploring what's contributing to this intensity?,"Hi, I'm a Zerfucker."
2026-05-02T03:13:45.556187,Sad,Anger,60,I hear you're expressing a lot of pain right now. It takes strength to articulate difficult feelings. Would you be open to exploring what's contributing to this intensity?,"Hi, I'm a Zerfucker."
2026-05-02T03:13:48.556535,Neutral,Anger,60,I hear you're expressing a lot of pain right now. It takes strength to articulate difficult feelings. Would you be open to exploring what's contributing to this intensity?,"Hi, I'm a Zerfucker."
2026-05-02T03:13:51.557059,Sad,Anger,60,I hear you're expressing a lot of pain right now. It takes strength to articulate difficult feelings. Would you be open to exploring what's contributing to this intensity?,
2026-05-02T03:14:08.022353,Sad,Disgust,60,Hi Pilell! It sounds like you're carrying a lot right now. Would you like to talk about what's on your mind?,"No, just say hi to Pilell."
2026-05-02T03:14:11.022646,Angry,Disgust,60,Hi Pilell! It sounds like you're carrying a lot right now. Would you like to talk about what's on your mind?,"No, just say hi to Pilell."
2026-05-02T03:14:14.023142,Neutral,Disgust,60,Hi Pilell! It sounds like you're carrying a lot right now. Would you like to talk about what's on your mind?,"No, just say hi to Pilell."
2026-05-02T03:14:17.023515,Angry,Disgust,60,Hi Pilell! It sounds like you're carrying a lot right now. Would you like to talk about what's on your mind?,"No, just say hi to Pilell."
2026-05-02T03:14:20.023934,Angry,Disgust,60,Hi Pilell! It sounds like you're carrying a lot right now. Would you like to talk about what's on your mind?,"No, just say hi to Pilell."
2026-05-02T03:14:23.024283,Neutral,Disgust,60,Hi Pilell! It sounds like you're carrying a lot right now. Would you like to talk about what's on your mind?,"No, just say hi to Pilell."
2026-05-02T03:14:26.024737,Angry,Disgust,60,Hi Pilell! It sounds like you're carrying a lot right now. Would you like to talk about what's on your mind?,"No, just say hi to Pilell."
2026-05-02T03:14:29.025150,Sad,Disgust,60,Hi Pilell! It sounds like you're carrying a lot right now. Would you like to talk about what's on your mind?,"No, just say hi to Pilell."
2026-05-02T03:14:32.025490,Sad,Disgust,60,Hi Pilell! It sounds like you're carrying a lot right now. Would you like to talk about what's on your mind?,"No, just say hi to Pilell."
2026-05-02T03:14:35.026018,Sad,Disgust,60,Hi Pilell! It sounds like you're carrying a lot right now. Would you like to talk about what's on your mind?,"No, just say hi to Pilell."
