timestamp,video_emotion,voice_emotion,biometric_data,distress_level,llm_response,stt_text
2026-05-02T01:28:13.316244,Angry,Starting...,"HR: 92.8, SpO2: 96.9%",65,The discrepancy between your expressed surprise and underlying anger suggests a potential disconnect between your conscious and subconscious feelings; explore where this feeling of surprise is originating from in relation to the situation.,
2026-05-02T01:28:16.316549,Angry,Starting...,"HR: 91.3, SpO2: 97.1%",65,The discrepancy between your expressed surprise and underlying anger suggests a potential disconnect between your conscious and subconscious feelings; explore where this feeling of surprise is originating from in relation to the situation.,
2026-05-02T01:28:19.316955,Angry,Starting...,"HR: 91.4, SpO2: 97.0%",65,The discrepancy between your expressed surprise and underlying anger suggests a potential disconnect between your conscious and subconscious feelings; explore where this feeling of surprise is originating from in relation to the situation.,
2026-05-02T01:28:22.317422,Angry,Starting...,"HR: 91.8, SpO2: 97.0%",65,The discrepancy between your expressed surprise and underlying anger suggests a potential disconnect between your conscious and subconscious feelings; explore where this feeling of surprise is originating from in relation to the situation.,
2026-05-02T01:28:26.283649,Angry,Disgust,"HR: 90.3, SpO2: 96.5%",75,"Your vocal tone carries a strong sense of displeasure, and the furrowed brow suggests a heightened level of frustration; it seems like you're experiencing significant internal tension right now.",How are you?
2026-05-02T01:28:29.287497,Angry,Disgust,"HR: 92.5, SpO2: 96.2%",75,"Your vocal tone carries a strong sense of displeasure, and the furrowed brow suggests a heightened level of frustration; it seems like you're experiencing significant internal tension right now.",How are you?
2026-05-02T01:28:32.287858,Angry,Disgust,"HR: 93.0, SpO2: 96.2%",75,"Your vocal tone carries a strong sense of displeasure, and the furrowed brow suggests a heightened level of frustration; it seems like you're experiencing significant internal tension right now.",How are you?
2026-05-02T01:28:35.288244,Angry,Disgust,"HR: 93.0, SpO2: 96.3%",75,"Your vocal tone carries a strong sense of displeasure, and the furrowed brow suggests a heightened level of frustration; it seems like you're experiencing significant internal tension right now.",How are you?
2026-05-02T01:28:38.288771,Angry,Disgust,"HR: 93.2, SpO2: 96.3%",75,"Your vocal tone carries a strong sense of displeasure, and the furrowed brow suggests a heightened level of frustration; it seems like you're experiencing significant internal tension right now.",How are you?
2026-05-02T01:28:41.289107,Angry,Disgust,"HR: 92.3, SpO2: 96.7%",75,"Your vocal tone carries a strong sense of displeasure, and the furrowed brow suggests a heightened level of frustration; it seems like you're experiencing significant internal tension right now.",How are you?
2026-05-02T01:28:44.289451,Angry,Disgust,"HR: 91.3, SpO2: 96.8%",75,"Your vocal tone carries a strong sense of displeasure, and the furrowed brow suggests a heightened level of frustration; it seems like you're experiencing significant internal tension right now.",
2026-05-02T01:28:47.289841,Angry,Disgust,"HR: 92.7, SpO2: 97.0%",75,"Your vocal tone carries a strong sense of displeasure, and the furrowed brow suggests a heightened level of frustration; it seems like you're experiencing significant internal tension right now.",
2026-05-02T01:28:50.290246,Angry,Disgust,"HR: 92.5, SpO2: 97.3%",75,"Your vocal tone carries a strong sense of displeasure, and the furrowed brow suggests a heightened level of frustration; it seems like you're experiencing significant internal tension right now.",
2026-05-02T01:28:53.290629,Angry,Disgust,"HR: 92.5, SpO2: 97.0%",75,"Your vocal tone carries a strong sense of displeasure, and the furrowed brow suggests a heightened level of frustration; it seems like you're experiencing significant internal tension right now.",
2026-05-02T01:28:56.291052,Angry,Disgust,"HR: 90.9, SpO2: 97.0%",75,"Your vocal tone carries a strong sense of displeasure, and the furrowed brow suggests a heightened level of frustration; it seems like you're experiencing significant internal tension right now.",
