timestamp,video_emotion,voice_emotion,biometric_data,distress_level,llm_response,stt_text
2026-05-02T02:19:50.883999,Starting...,Starting...,Starting...,0,Initializing...,
2026-05-02T02:19:53.884226,Sad,Starting...,"HR: 71.2, SpO2: 98.2%",0,Initializing...,
2026-05-02T02:19:56.884602,Neutral,Starting...,"HR: 72.5, SpO2: 97.9%",0,Initializing...,
2026-05-02T02:19:59.884965,Neutral,Starting...,"HR: 73.9, SpO2: 97.6%",0,Initializing...,
2026-05-02T02:20:24.746284,Neutral,Calm,"HR: 69.4, SpO2: 99.0%",20,"Hi there! I'm doing well, thanks for asking. How are you feeling today?","Hi, how are you today?"
2026-05-02T02:20:28.167210,Neutral,Calm,"HR: 69.2, SpO2: 99.0%",20,It's nice to hear from you! I hope you're having a peaceful day. Is there anything on your mind?,"Hi, how are you today?"
2026-05-02T02:20:32.474849,Happy,Calm,"HR: 68.5, SpO2: 98.9%",20,You seem peaceful today! I hope you're feeling good. Anything you'd like to share?,"Hi, how are you today?"
2026-05-02T02:20:35.762333,Neutral,Calm,"HR: 69.2, SpO2: 99.3%",20,You seem calm and at ease. How are you feeling today?,"Hi, how are you today?"
2026-05-02T02:20:39.073431,Neutral,Calm,"HR: 70.9, SpO2: 99.5%",20,You seem peaceful today! I hope you're feeling good. Anything you'd like to share?,
2026-05-02T02:20:42.409305,Neutral,Calm,"HR: 71.8, SpO2: 99.6%",20,You seem peaceful today! I hope you're feeling good. Anything you'd like to share?,
2026-05-02T02:20:45.749081,Neutral,Calm,"HR: 70.7, SpO2: 99.5%",20,You seem peaceful today! I hope you're feeling good. Anything you'd like to share?,
2026-05-02T02:21:03.117336,Neutral,Surprised,"HR: 70.0, SpO2: 98.9%",20,That's so kind of you to do! It's lovely to have a clear message. How are you feeling about having this conversation with Dr. Lyla?,Can you say hello to Dr. Lyla? She will listen to the conversation later.
2026-05-02T02:21:06.541795,Neutral,Surprised,"HR: 70.6, SpO2: 98.8%",25,It's great you're thinking of Dr. Lyla. Is there anything specific you're hoping to discuss with her?,Can you say hello to Dr. Lyla? She will listen to the conversation later.
2026-05-02T02:21:09.897325,Neutral,Surprised,"HR: 71.1, SpO2: 98.9%",20,You seem a little on edge. Is there anything I can do to help ease your mind right now?,Can you say hello to Dr. Lyla? She will listen to the conversation later.
2026-05-02T02:21:13.233263,Neutral,Surprised,"HR: 71.2, SpO2: 98.8%",40,You seem a little on edge. Is there anything I can do to help ease your mind right now?,
2026-05-02T02:21:16.542588,Neutral,Happy,"HR: 72.0, SpO2: 98.7%",20,You seem a little on edge. Is there anything I can do to help ease your mind right now?,
2026-05-02T02:21:19.856448,Angry,Happy,"HR: 73.6, SpO2: 99.2%",40,You seem a little on edge. Is there anything I can do to help ease your mind right now?,
2026-05-02T02:21:23.189349,Neutral,Happy,"HR: 74.2, SpO2: 99.3%",25,You seem a little on edge. Is there anything I can do to help ease your mind right now?,
2026-05-02T02:21:26.500650,Neutral,Happy,"HR: 73.0, SpO2: 99.1%",20,You seem a little on edge. Is there anything I can do to help ease your mind right now?,
2026-05-02T02:21:29.812607,Neutral,Happy,"HR: 72.0, SpO2: 99.2%",25,You seem a little on edge. Is there anything I can do to help ease your mind right now?,
2026-05-02T02:21:53.061789,Angry,Fear,"HR: 71.3, SpO2: 99.1%",40,It sounds like you're feeling a lot of pressure right now. What's making it feel so overwhelming?,"Honestly, I feel pressure, this conversation, just app, even you, it's just a piece of the project that Laila asked us to do."
2026-05-02T02:21:56.482076,Neutral,Fear,"HR: 71.1, SpO2: 99.1%",40,It makes sense that you'd feel pressure with a project like this. What part of it is feeling the most challenging right now?,"Honestly, I feel pressure, this conversation, just app, even you, it's just a piece of the project that Laila asked us to do."
2026-05-02T02:21:59.865563,Neutral,Fear,"HR: 69.5, SpO2: 98.8%",40,You seem to be carrying a lot on your shoulders. Is there anything specific about the project you'd like to explore further?,"Honestly, I feel pressure, this conversation, just app, even you, it's just a piece of the project that Laila asked us to do."
2026-05-02T02:22:03.214113,Neutral,Fear,"HR: 70.2, SpO2: 98.8%",40,You seem to be carrying a lot on your shoulders. Is there anything specific about the project you'd like to explore further?,"Honestly, I feel pressure, this conversation, just app, even you, it's just a piece of the project that Laila asked us to do."
2026-05-02T02:22:06.569019,Angry,Fear,"HR: 68.6, SpO2: 98.7%",60,You seem to be carrying a lot on your shoulders. Is there anything specific about the project you'd like to explore further?,"Honestly, I feel pressure, this conversation, just app, even you, it's just a piece of the project that Laila asked us to do."
2026-05-02T02:22:09.888567,Angry,Fear,"HR: 72.2, SpO2: 98.9%",60,"You seem overwhelmed, and it's understandable to feel that way. How are you holding up with everything?","Honestly, I feel pressure, this conversation, just app, even you, it's just a piece of the project that Laila asked us to do."
2026-05-02T02:22:13.260673,Angry,Fear,"HR: 72.8, SpO2: 98.9%",60,You seem to be carrying a lot on your shoulders. Is there anything specific about the project you'd like to explore further?,"Honestly, I feel pressure, this conversation, just app, even you, it's just a piece of the project that Laila asked us to do."
2026-05-02T02:22:16.635075,Neutral,Fear,"HR: 73.1, SpO2: 98.7%",40,You seem to be carrying a lot on your shoulders. Is there anything specific about the project you'd like to explore further?,"Honestly, I feel pressure, this conversation, just app, even you, it's just a piece of the project that Laila asked us to do."
2026-05-02T02:22:19.943027,Neutral,Fear,"HR: 74.1, SpO2: 98.3%",40,You seem a little overwhelmed. How are you feeling about the project right now?,"Honestly, I feel pressure, this conversation, just app, even you, it's just a piece of the project that Laila asked us to do."
2026-05-02T02:22:23.214242,Neutral,Fear,"HR: 76.9, SpO2: 98.5%",40,You seem a little overwhelmed. How are you feeling about the project right now?,"Honestly, I feel pressure, this conversation, just app, even you, it's just a piece of the project that Laila asked us to do."
2026-05-02T02:22:26.519508,Neutral,Fear,"HR: 76.8, SpO2: 98.5%",40,You seem a little overwhelmed. How are you feeling about the project right now?,"Honestly, I feel pressure, this conversation, just app, even you, it's just a piece of the project that Laila asked us to do."
2026-05-02T02:22:29.785221,Neutral,Fear,"HR: 77.7, SpO2: 98.4%",40,You seem a little overwhelmed. How are you feeling about the project right now?,"Honestly, I feel pressure, this conversation, just app, even you, it's just a piece of the project that Laila asked us to do."
2026-05-02T02:22:33.078744,Neutral,Fear,"HR: 78.4, SpO2: 98.3%",40,You seem a little overwhelmed. How are you feeling about the project right now?,"Honestly, I feel pressure, this conversation, just app, even you, it's just a piece of the project that Laila asked us to do."
2026-05-02T02:22:36.350354,Neutral,Fear,"HR: 79.7, SpO2: 98.2%",40,You seem a little overwhelmed. How are you feeling about the project right now?,"Honestly, I feel pressure, this conversation, just app, even you, it's just a piece of the project that Laila asked us to do."
2026-05-02T02:22:39.618209,Neutral,Fear,"HR: 81.1, SpO2: 98.3%",61,You seem a little overwhelmed. How are you feeling about the project right now?,"Honestly, I feel pressure, this conversation, just app, even you, it's just a piece of the project that Laila asked us to do."
2026-05-02T02:22:42.889220,Neutral,Fear,"HR: 82.0, SpO2: 98.1%",40,You seem a little overwhelmed. How are you feeling about the project right now?,"Honestly, I feel pressure, this conversation, just app, even you, it's just a piece of the project that Laila asked us to do."
2026-05-02T02:22:46.161966,Angry,Fear,"HR: 82.1, SpO2: 97.7%",40,You seem a little overwhelmed. How are you feeling about the project right now?,"Honestly, I feel pressure, this conversation, just app, even you, it's just a piece of the project that Laila asked us to do."
2026-05-02T02:22:49.465801,Angry,Fear,"HR: 80.5, SpO2: 97.3%",60,You seem a little overwhelmed. How are you feeling about the project right now?,"Honestly, I feel pressure, this conversation, just app, even you, it's just a piece of the project that Laila asked us to do."
2026-05-02T02:22:52.765326,Happy,Fear,"HR: 79.0, SpO2: 97.3%",40,You seem a little overwhelmed. How are you feeling about the project right now?,"Honestly, I feel pressure, this conversation, just app, even you, it's just a piece of the project that Laila asked us to do."
2026-05-02T02:22:56.075975,Happy,Fear,"HR: 77.1, SpO2: 97.2%",40,You seem a little overwhelmed. How are you feeling about the project right now?,"Honestly, I feel pressure, this conversation, just app, even you, it's just a piece of the project that Laila asked us to do."
2026-05-02T02:22:59.376055,Happy,Fear,"HR: 78.9, SpO2: 97.0%",40,You seem a little overwhelmed. How are you feeling about the project right now?,"Honestly, I feel pressure, this conversation, just app, even you, it's just a piece of the project that Laila asked us to do."
2026-05-02T02:23:02.642235,Sad,Fear,"HR: 79.6, SpO2: 97.0%",40,You seem a little overwhelmed. How are you feeling about the project right now?,"Honestly, I feel pressure, this conversation, just app, even you, it's just a piece of the project that Laila asked us to do."
2026-05-02T02:23:05.910393,Sad,Fear,"HR: 79.6, SpO2: 97.3%",40,You seem a little overwhelmed. How are you feeling about the project right now?,"Honestly, I feel pressure, this conversation, just app, even you, it's just a piece of the project that Laila asked us to do."
2026-05-02T02:23:09.212607,Sad,Fear,"HR: 81.3, SpO2: 96.9%",61,You seem a little overwhelmed. How are you feeling about the project right now?,"Honestly, I feel pressure, this conversation, just app, even you, it's just a piece of the project that Laila asked us to do."
2026-05-02T02:23:12.488698,Happy,Fear,"HR: 81.6, SpO2: 97.3%",60,You seem a little overwhelmed. How are you feeling about the project right now?,"Honestly, I feel pressure, this conversation, just app, even you, it's just a piece of the project that Laila asked us to do."
2026-05-02T02:23:15.788314,Neutral,Fear,"HR: 81.6, SpO2: 97.6%",60,You seem a little overwhelmed. How are you feeling about the project right now?,"Honestly, I feel pressure, this conversation, just app, even you, it's just a piece of the project that Laila asked us to do."
2026-05-02T02:23:19.057073,Neutral,Fear,"HR: 81.6, SpO2: 97.6%",60,You seem a little overwhelmed. How are you feeling about the project right now?,"Honestly, I feel pressure, this conversation, just app, even you, it's just a piece of the project that Laila asked us to do."
2026-05-02T02:23:22.327037,Neutral,Fear,"HR: 81.7, SpO2: 97.7%",60,You seem a little overwhelmed. How are you feeling about the project right now?,"Honestly, I feel pressure, this conversation, just app, even you, it's just a piece of the project that Laila asked us to do."
2026-05-02T02:23:25.601908,Neutral,Fear,"HR: 84.1, SpO2: 98.0%",40,You seem a little overwhelmed. How are you feeling about the project right now?,"Honestly, I feel pressure, this conversation, just app, even you, it's just a piece of the project that Laila asked us to do."
2026-05-02T02:23:28.870304,Neutral,Fear,"HR: 82.0, SpO2: 98.2%",40,You seem a little overwhelmed. How are you feeling about the project right now?,"Honestly, I feel pressure, this conversation, just app, even you, it's just a piece of the project that Laila asked us to do."
2026-05-02T02:23:32.171338,Neutral,Fear,"HR: 84.6, SpO2: 97.9%",40,You seem a little overwhelmed. How are you feeling about the project right now?,"Honestly, I feel pressure, this conversation, just app, even you, it's just a piece of the project that Laila asked us to do."
2026-05-02T02:23:35.436389,Neutral,Fear,"HR: 82.8, SpO2: 98.1%",40,You seem a little overwhelmed. How are you feeling about the project right now?,"Honestly, I feel pressure, this conversation, just app, even you, it's just a piece of the project that Laila asked us to do."
2026-05-02T02:23:38.739358,Angry,Fear,"HR: 82.8, SpO2: 98.2%",60,You seem a little overwhelmed. How are you feeling about the project right now?,"Honestly, I feel pressure, this conversation, just app, even you, it's just a piece of the project that Laila asked us to do."
2026-05-02T02:23:42.010781,Neutral,Fear,"HR: 82.5, SpO2: 98.6%",40,You seem a little overwhelmed. How are you feeling about the project right now?,"Honestly, I feel pressure, this conversation, just app, even you, it's just a piece of the project that Laila asked us to do."
