timestamp,video_emotion,voice_emotion,distress_level,llm_response,stt_text
2026-05-02T03:23:48.339289,Neutral,Starting...,40,It takes courage to share that you're feeling so sad. What's bringing that on today?,
2026-05-02T03:23:51.339695,Neutral,Starting...,40,It takes courage to share that you're feeling so sad. What's bringing that on today?,
2026-05-02T03:23:54.340037,Angry,Starting...,40,It takes courage to share that you're feeling so sad. What's bringing that on today?,
2026-05-02T03:23:57.340386,Neutral,Starting...,40,It takes courage to share that you're feeling so sad. What's bringing that on today?,
2026-05-02T03:24:00.340709,Neutral,Starting...,40,It takes courage to share that you're feeling so sad. What's bringing that on today?,
2026-05-02T03:24:03.341075,Neutral,Starting...,40,It takes courage to share that you're feeling so sad. What's bringing that on today?,
2026-05-02T03:24:06.341416,Happy,Starting...,40,It takes courage to share that you're feeling so sad. What's bringing that on today?,
2026-05-02T03:24:09.341710,Happy,Starting...,40,It takes courage to share that you're feeling so sad. What's bringing that on today?,
2026-05-02T03:24:12.342023,Neutral,Starting...,40,It takes courage to share that you're feeling so sad. What's bringing that on today?,
2026-05-02T03:24:15.342374,Neutral,Starting...,40,It takes courage to share that you're feeling so sad. What's bringing that on today?,
2026-05-02T03:24:18.342694,Happy,Starting...,40,It takes courage to share that you're feeling so sad. What's bringing that on today?,
2026-05-02T03:24:21.343073,Happy,Starting...,40,It takes courage to share that you're feeling so sad. What's bringing that on today?,
2026-05-02T03:24:40.672892,Neutral,Fear,40,That's a really interesting feeling. It sounds like you're navigating a lot of conflicting emotions right now. What's making it so hard to enjoy this experience?,"Hi man, actually I don't feel sad, but you know like the grey area, I feel I'm inside the grey area.  I have planned for this pass for a lot of time, but I'm here like I'm feeling I hate it, you know?"
2026-05-02T03:24:43.673096,Sad,Fear,40,That's a really interesting feeling. It sounds like you're navigating a lot of conflicting emotions right now. What's making it so hard to enjoy this experience?,"Hi man, actually I don't feel sad, but you know like the grey area, I feel I'm inside the grey area.  I have planned for this pass for a lot of time, but I'm here like I'm feeling I hate it, you know?"
2026-05-02T03:24:46.673405,Happy,Fear,40,That's a really interesting feeling. It sounds like you're navigating a lot of conflicting emotions right now. What's making it so hard to enjoy this experience?,"Hi man, actually I don't feel sad, but you know like the grey area, I feel I'm inside the grey area.  I have planned for this pass for a lot of time, but I'm here like I'm feeling I hate it, you know?"
2026-05-02T03:24:49.673804,Happy,Fear,40,That's a really interesting feeling. It sounds like you're navigating a lot of conflicting emotions right now. What's making it so hard to enjoy this experience?,"Hi man, actually I don't feel sad, but you know like the grey area, I feel I'm inside the grey area.  I have planned for this pass for a lot of time, but I'm here like I'm feeling I hate it, you know?"
2026-05-02T03:24:52.675873,Happy,Fear,40,That's a really interesting feeling. It sounds like you're navigating a lot of conflicting emotions right now. What's making it so hard to enjoy this experience?,"Hi man, actually I don't feel sad, but you know like the grey area, I feel I'm inside the grey area.  I have planned for this pass for a lot of time, but I'm here like I'm feeling I hate it, you know?"
2026-05-02T03:24:55.676315,Angry,Sad,40,That's a really interesting feeling. It sounds like you're navigating a lot of conflicting emotions right now. What's making it so hard to enjoy this experience?,
2026-05-02T03:24:58.676693,Angry,Sad,40,That's a really interesting feeling. It sounds like you're navigating a lot of conflicting emotions right now. What's making it so hard to enjoy this experience?,
2026-05-02T03:25:01.677053,Neutral,Sad,40,That's a really interesting feeling. It sounds like you're navigating a lot of conflicting emotions right now. What's making it so hard to enjoy this experience?,
2026-05-02T03:25:04.677428,Neutral,Sad,40,That's a really interesting feeling. It sounds like you're navigating a lot of conflicting emotions right now. What's making it so hard to enjoy this experience?,
2026-05-02T03:25:07.677814,Happy,Sad,40,That's a really interesting feeling. It sounds like you're navigating a lot of conflicting emotions right now. What's making it so hard to enjoy this experience?,
2026-05-02T03:25:10.678242,Sad,Sad,40,That's a really interesting feeling. It sounds like you're navigating a lot of conflicting emotions right now. What's making it so hard to enjoy this experience?,
2026-05-02T03:25:13.678544,Happy,Sad,40,That's a really interesting feeling. It sounds like you're navigating a lot of conflicting emotions right now. What's making it so hard to enjoy this experience?,
2026-05-02T03:25:16.678843,Happy,Sad,40,That's a really interesting feeling. It sounds like you're navigating a lot of conflicting emotions right now. What's making it so hard to enjoy this experience?,
2026-05-02T03:25:19.679159,Happy,Sad,40,That's a really interesting feeling. It sounds like you're navigating a lot of conflicting emotions right now. What's making it so hard to enjoy this experience?,
2026-05-02T03:25:22.679429,Neutral,Sad,40,That's a really interesting feeling. It sounds like you're navigating a lot of conflicting emotions right now. What's making it so hard to enjoy this experience?,
2026-05-02T03:25:25.679723,Happy,Sad,40,That's a really interesting feeling. It sounds like you're navigating a lot of conflicting emotions right now. What's making it so hard to enjoy this experience?,
2026-05-02T03:25:28.680052,Neutral,Sad,40,That's a really interesting feeling. It sounds like you're navigating a lot of conflicting emotions right now. What's making it so hard to enjoy this experience?,
2026-05-02T03:25:31.680356,Sad,Sad,40,That's a really interesting feeling. It sounds like you're navigating a lot of conflicting emotions right now. What's making it so hard to enjoy this experience?,
2026-05-02T03:25:49.396414,Neutral,Anger,60,It's completely understandable to feel overwhelmed when you have so much to do. What feels like the biggest hurdle right now?,"I have a lot of projects to finish them, but by the end of this week actually and I don't know how to do this."
2026-05-02T03:25:52.396668,Neutral,Anger,60,It's completely understandable to feel overwhelmed when you have so much to do. What feels like the biggest hurdle right now?,"I have a lot of projects to finish them, but by the end of this week actually and I don't know how to do this."
2026-05-02T03:25:55.396976,Sad,Anger,60,It's completely understandable to feel overwhelmed when you have so much to do. What feels like the biggest hurdle right now?,"I have a lot of projects to finish them, but by the end of this week actually and I don't know how to do this."
2026-05-02T03:25:58.397346,Neutral,Anger,60,It's completely understandable to feel overwhelmed when you have so much to do. What feels like the biggest hurdle right now?,"I have a lot of projects to finish them, but by the end of this week actually and I don't know how to do this."
2026-05-02T03:26:01.397638,Neutral,Anger,60,It's completely understandable to feel overwhelmed when you have so much to do. What feels like the biggest hurdle right now?,
2026-05-02T03:26:04.397944,Neutral,Sad,60,It's completely understandable to feel overwhelmed when you have so much to do. What feels like the biggest hurdle right now?,
2026-05-02T03:26:07.398240,Neutral,Sad,60,It's completely understandable to feel overwhelmed when you have so much to do. What feels like the biggest hurdle right now?,
2026-05-02T03:26:10.398534,Sad,Sad,60,It's completely understandable to feel overwhelmed when you have so much to do. What feels like the biggest hurdle right now?,
2026-05-02T03:26:27.782498,Angry,Anger,60,It's understandable to feel frustrated when you're feeling overwhelmed with work. What's the most challenging aspect of these projects for you?,"Okay, this conversation will be here by Dr. Laila, so can you say hi to Dr. Laila?"
2026-05-02T03:26:30.782866,Angry,Anger,60,It's understandable to feel frustrated when you're feeling overwhelmed with work. What's the most challenging aspect of these projects for you?,"Okay, this conversation will be here by Dr. Laila, so can you say hi to Dr. Laila?"
