timestamp,video_emotion,voice_emotion,biometric_data,distress_level,llm_response,stt_text
2026-05-02T01:17:15.193735,Starting...,Starting...,Starting...,0,Initializing...,
2026-05-02T01:17:18.194026,Angry,Starting...,"HR: 71.5, SpO2: 97.8%",0,Initializing...,
2026-05-02T01:17:21.194326,Angry,Starting...,"HR: 71.4, SpO2: 97.9%",0,Initializing...,
2026-05-02T01:17:24.194617,Angry,Starting...,"HR: 73.2, SpO2: 97.7%",0,Initializing...,
2026-05-02T01:17:29.386651,Angry,Calm,"HR: 76.1, SpO2: 97.7%",45,I detect a tension between your stated calmness and the underlying anger in your facial expression and vocal tone; it seems like you're navigating a difficult emotion right now.,"Hi, how are you today?"
2026-05-02T01:17:32.387057,Angry,Calm,"HR: 77.4, SpO2: 98.1%",45,I detect a tension between your stated calmness and the underlying anger in your facial expression and vocal tone; it seems like you're navigating a difficult emotion right now.,"Hi, how are you today?"
2026-05-02T01:17:35.387511,Angry,Calm,"HR: 78.3, SpO2: 98.2%",45,I detect a tension between your stated calmness and the underlying anger in your facial expression and vocal tone; it seems like you're navigating a difficult emotion right now.,"Hi, how are you today?"
2026-05-02T01:17:38.387919,Angry,Calm,"HR: 79.1, SpO2: 98.2%",45,I detect a tension between your stated calmness and the underlying anger in your facial expression and vocal tone; it seems like you're navigating a difficult emotion right now.,"Hi, how are you today?"
2026-05-02T01:17:41.388408,Angry,Calm,"HR: 81.3, SpO2: 98.2%",45,I detect a tension between your stated calmness and the underlying anger in your facial expression and vocal tone; it seems like you're navigating a difficult emotion right now.,"Hi, how are you today?"
2026-05-02T01:17:44.388758,Angry,Calm,"HR: 79.6, SpO2: 98.2%",45,I detect a tension between your stated calmness and the underlying anger in your facial expression and vocal tone; it seems like you're navigating a difficult emotion right now.,"Hi, how are you today?"
2026-05-02T01:17:47.389192,Angry,Calm,"HR: 79.3, SpO2: 98.2%",45,I detect a tension between your stated calmness and the underlying anger in your facial expression and vocal tone; it seems like you're navigating a difficult emotion right now.,"Hi, how are you today?"
2026-05-02T01:17:50.389661,Angry,Calm,"HR: 78.3, SpO2: 98.2%",45,I detect a tension between your stated calmness and the underlying anger in your facial expression and vocal tone; it seems like you're navigating a difficult emotion right now.,"Hi, how are you today?"
2026-05-02T01:17:53.390196,Angry,Calm,"HR: 76.5, SpO2: 98.1%",45,I detect a tension between your stated calmness and the underlying anger in your facial expression and vocal tone; it seems like you're navigating a difficult emotion right now.,"Hi, how are you today?"
2026-05-02T01:17:56.390618,Angry,Calm,"HR: 75.2, SpO2: 98.0%",45,I detect a tension between your stated calmness and the underlying anger in your facial expression and vocal tone; it seems like you're navigating a difficult emotion right now.,"Hi, how are you today?"
2026-05-02T01:17:59.390979,Angry,Calm,"HR: 75.5, SpO2: 97.8%",45,I detect a tension between your stated calmness and the underlying anger in your facial expression and vocal tone; it seems like you're navigating a difficult emotion right now.,"Hi, how are you today?"
2026-05-02T01:18:02.391573,Sad,Calm,"HR: 74.8, SpO2: 97.8%",45,I detect a tension between your stated calmness and the underlying anger in your facial expression and vocal tone; it seems like you're navigating a difficult emotion right now.,"Hi, how are you today?"
2026-05-02T01:18:05.392105,Angry,Calm,"HR: 76.1, SpO2: 97.9%",45,I detect a tension between your stated calmness and the underlying anger in your facial expression and vocal tone; it seems like you're navigating a difficult emotion right now.,"Hi, how are you today?"
2026-05-02T01:18:08.392525,Angry,Calm,"HR: 75.8, SpO2: 98.2%",45,I detect a tension between your stated calmness and the underlying anger in your facial expression and vocal tone; it seems like you're navigating a difficult emotion right now.,"Hi, how are you today?"
2026-05-02T01:18:11.393011,Angry,Calm,"HR: 77.8, SpO2: 98.5%",45,I detect a tension between your stated calmness and the underlying anger in your facial expression and vocal tone; it seems like you're navigating a difficult emotion right now.,"Hi, how are you today?"
